Год,коэффициент_замещения,коэффициент_нагрузки,ест_прирост_‰,миграция_‰,доля_пенсионеров,опережение_зп,z_замещение,z_нагрузка,z_прирост,z_миграция,z_старение,z_финустой,ИПУ,Округ,медианная_зарплата,средняя_пенсия,родившиеся,умершие,миграция,население_всего,занятые,пенсионеры_всего
2029,0.5284447465710447,0.698562148933656,-10.245188162054301,-6.448920764956512e-06,0.3755600535061614,-0.1339400159217018,0.9947226352652588,2.1034273016416996,0.9439731963725432,-3.149377436792543e-06,1.1775870192179496,0.8381354034705025,36.15624067071926,Дальневосточный,,,,,,,,
2030,0.5370364795169371,0.7012973028267433,-10.047546565037784,-7.2902099936822395e-06,0.37645117557445174,-0.12442722947028267,1.050503139520223,2.1379698821936524,0.9794532865697637,-3.560227160542138e-06,1.1896823776889753,0.9166442188674527,36.07475872661993,Дальневосточный,,,,,,,,
2031,0.545059094842536,0.7039943226029814,-9.862975063951703,-8.132085167367187e-06,0.3773330736021494,-0.1147771322869322,1.1025887351880275,2.1720308624940183,1.0125870681482605,-3.9713630347812525e-06,1.201652536614967,0.9962862566866943,35.94800488844518,Дальневосточный,,,,,,,,
2032,0.5525439374284509,0.7066535471186284,-9.691020979662765,-8.974546692908092e-06,0.37820582738405095,-0.10499175150922146,1.151182924083408,2.205614521998376,1.043455804853733,-4.382785258220874e-06,1.2134985790649038,1.0770447870068562,35.77840985426405,Дальневосточный,,,,,,,,
2033,0.5595399766449505,0.7092824503927577,-9.53075649362852,-9.819905505525917e-06,0.3790718702677318,-0.09504595681568084,1.1966036323085651,2.238815250973594,1.0722260561861539,-4.795622392911622e-06,1.2252535332986125,1.159127209813127,35.56784372757127,Дальневосточный,,,,,,,,
2034,0.566038626725976,0.7118670129399383,-9.38251043865682,-1.0663542566735629e-05,0.3799265490672836,-0.08499652495476712,1.238795118098341,2.271455995687513,1.0988387909604964,-5.207618697759035e-06,1.2368542407953962,1.2420649478609527,35.32000062395319,Дальневосточный,,,,,,,,
2035,0.5720882198448936,0.7144148168725692,-9.245255689242828,-1.1507767203933206e-05,0.38077232115533133,-0.07481908474054322,1.278071170652082,2.3036325115303375,1.1234783959966685,-5.61990194962069e-06,1.248334055911356,1.326059136006825,35.0369114681865,Дальневосточный,,,,,,,,
2036,0.5777161834257618,0.7169262129611791,-9.118403152466017,-1.2352579825458676e-05,0.3816092649257914,-0.0645164573295734,1.3146098583005952,2.3353492284243713,1.1462506236781285,-6.032472347912414e-06,1.2596940427010763,1.4110864913082493,34.72112138305994,Дальневосточный,,,,,,,,
2037,0.5829626033352995,0.7194082868954723,-9.001049297137891,-1.3200297815374462e-05,0.38243971548096733,-0.05406293678126722,1.34867143236607,2.3666956323791597,1.16731767350411,-6.446461604023534e-06,1.2709658959238188,1.497359164322239,34.374163151591624,Дальневосточный,,,,,,,,
2038,0.5878239479255849,0.7218478315050483,-8.893239664152098,-1.4046289245173149e-05,0.38325921267110497,-0.043518871761383804,1.3802329641677427,2.397504928484704,1.1866713700953468,-6.859607681923255e-06,1.2820890771729712,1.5843790988500424,34.00041741451526,Дальневосточный,,,,,,,,
